tool_id,tool_name,tool_type,manufacturer,date_logged,issue_category,issue_description,severity,frequency,downtime_hours,root_cause,resolution,resolved_date,sample_type,logged_by,notes
TOOL_A,Helios 5 CX,FIB-SEM,Vendor X,2025-01-06,Vacuum,Chamber pressure rising above 1e-5 Torr during imaging,High,3,2.5,Worn door gasket,Gasket replaced,2025-01-07,TEM lamella,Jade,Recurs after high-throughput days
TOOL_A,Helios 5 CX,FIB-SEM,Vendor X,2025-01-13,Beam,Ion beam current unstable at low pA settings,Medium,2,1.0,Aperture contamination,Aperture cleaned,2025-01-14,TEM lamella,Jade,
TOOL_A,Helios 5 CX,FIB-SEM,Vendor X,2025-01-20,Stage,Stage Z drift observed during long milling runs,Low,4,0.0,Thermal expansion,Compensated in software,2025-01-20,Bulk Si,Jade,No downtime needed
TOOL_A,Helios 5 CX,FIB-SEM,Vendor X,2025-01-27,Software,UI freeze when switching between ion and electron beam,Low,1,0.5,Software bug,System restarted,2025-01-27,TEM lamella,Jade,
TOOL_A,Helios 5 CX,FIB-SEM,Vendor X,2025-02-03,Vacuum,Roughing pump noise above normal threshold,Medium,2,1.5,Worn pump diaphragm,Pump serviced,2025-02-04,GaN-on-Si wafer,Jade,Occurs mainly on weekend shifts
TOOL_A,Helios 5 CX,FIB-SEM,Vendor X,2025-02-10,Beam,SEM resolution degraded — images appear soft,High,1,3.0,Electron gun alignment drift,Gun realigned by FSE,2025-02-11,TEM lamella,Jade,FSE called in
TOOL_A,Helios 5 CX,FIB-SEM,Vendor X,2025-02-17,Stage,Eucentric height not reproducible between sessions,Low,3,0.0,Stage calibration drift,Stage recalibrated,2025-02-17,Bulk Si,Jade,
TOOL_A,Helios 5 CX,FIB-SEM,Vendor X,2025-02-24,Detector,ETD signal noisy at low kV,Medium,2,0.5,Detector bias drifting,Bias reset,2025-02-24,Si wafer,Jade,
TOOL_A,Helios 5 CX,FIB-SEM,Vendor X,2025-03-03,Vacuum,Turbo pump ramp-up slower than spec,Medium,1,1.0,Turbo bearing wear,Turbo pump replaced,2025-03-05,TEM lamella,Jade,Scheduled PM pulled forward
TOOL_A,Helios 5 CX,FIB-SEM,Vendor X,2025-03-10,Beam,FIB beam shift after thermal cycle,Low,2,0.0,Thermal drift post-warmup,Waited for stabilization,2025-03-10,GaN-on-Si wafer,Jade,Allow 30 min warmup
TOOL_A,Helios 5 CX,FIB-SEM,Vendor X,2025-03-17,Software,Pattern file failed to load on first attempt,Low,1,0.0,File path error,File path corrected,2025-03-17,TEM lamella,Jade,
TOOL_A,Helios 5 CX,FIB-SEM,Vendor X,2025-03-24,Stage,Tilt axis backlash noticed above 45 degrees,Medium,2,0.5,Mechanical wear,Reported to FSE,2025-03-28,TEM lamella,Jade,Monitoring — FSE to assess next PM
TOOL_B,Apreo 2S,SEM,Vendor Y,2025-01-08,Beam,Low-kV imaging shows charging on uncoated samples,Medium,5,0.0,Sample not conductive,Recommended Au-Pd coat,2025-01-08,Polymer cross-section,Jade,User education needed
TOOL_B,Apreo 2S,SEM,Vendor Y,2025-01-15,Vacuum,Venting cycle took 3x longer than normal,Low,1,1.0,Vent valve sluggish,Valve actuator cleaned,2025-01-16,Si wafer,Jade,
TOOL_B,Apreo 2S,SEM,Vendor Y,2025-01-22,Detector,STEM detector giving uneven background,Medium,2,0.5,Detector needs calibration,Detector recalibrated,2025-01-22,TEM lamella,Jade,
TOOL_B,Apreo 2S,SEM,Vendor Y,2025-01-29,Software,Automated map acquisition aborted mid-run,High,1,2.0,Memory overflow on large map,Map tile size reduced,2025-01-30,GaN-on-Si wafer,Jade,
